source,solver,N,n_cells,spearman_rho,spearman_ci_low,spearman_ci_high,pearson_r
b2_budget_sweep,hybrid_bqm,50,10,-0.309090909090909,-0.8993867924528303,0.3728264890861989,-0.1173249070380042
b2_budget_sweep,hybrid_cqm,50,10,-0.9349469900084573,-1.0,-0.7302967433402215,-0.7012669840154373
b2_budget_sweep,hybrid_bqm,100,10,-0.09726488698881035,-0.7896621891156946,0.5485354209780138,0.05526989452144686
b2_budget_sweep,hybrid_cqm,100,10,-0.5570860145311556,-0.9938079899999067,0.3286710990610898,-0.333477973055165
b2_budget_sweep,hybrid_bqm,200,10,-0.32121212121212117,-0.9,0.4321453529000696,0.09457623839891505
b2_budget_sweep,hybrid_cqm,200,10,-0.20952908873087345,-0.8050764858994132,0.5429653034538368,-0.10650919159138413
b2_budget_sweep,hybrid_bqm,400,8,-0.880952380952381,-1.0,-0.3164556962025317,-0.4553158207832434
b2_budget_sweep,hybrid_cqm,400,10,0.10444659357341869,-0.6107574836475803,0.750505550536339,0.00016163130184967955
