source,solver,N,family,time_limit_s,n_runs,spearman_rho,spearman_ci_low,spearman_ci_high,pearson_r,mean_qpu_access_us,mean_objective,obj_std
repeated_hybrid,hybrid_cqm,50,block,5,10,nan,0.0,0.0,nan,34705.6,-0.4882233642912202,5.551115123125783e-17
repeated_hybrid,hybrid_bqm,50,block,5,10,-0.2500046476608327,-0.862723998439651,0.4923417721518986,-0.3338427625315989,186531.1,-0.36010587565831714,0.02119474453776104
repeated_hybrid,hybrid_cqm,50,block,300,10,nan,0.0,0.0,nan,34703.7,-0.4882233642912202,5.551115123125783e-17
repeated_hybrid,hybrid_bqm,50,block,300,10,0.01818181818181818,-0.7484276729559749,0.6856040186228862,-0.012204557890957146,11817788.2,-0.4342965183955763,0.010964648707872305
repeated_hybrid,hybrid_bqm,100,block,5,10,-0.7818181818181817,-1.0,-0.16767598343685317,-0.49568791120476846,174961.2,0.43787294444436464,0.07283560028745535
repeated_hybrid,hybrid_bqm,100,block,300,10,-0.2121212121212121,-0.6993627450980391,0.5601777939042066,-0.0761236502849143,12168106.4,-0.13756320790262624,0.0768887711206646
repeated_hybrid,hybrid_bqm,200,block,5,10,0.29696969696969694,-0.3704248366013071,0.8250540123456787,0.042447932245650674,107185.3,4.560425744569984,0.07740840510662311
repeated_hybrid,hybrid_bqm,200,block,300,10,-0.16363636363636364,-0.8369946091644205,0.5571004746835435,-0.3840763430552009,10950944.5,4.214847178288265,0.11207791585575454
repeated_hybrid,hybrid_cqm,50,dense,5,10,nan,0.0,0.0,nan,34711.6,-0.7992558126256013,1.1102230246251565e-16
repeated_hybrid,hybrid_bqm,50,dense,5,10,-0.05521888072258639,-0.6857586140790237,0.6154574901607566,-0.021907439033040356,170357.3,-0.6483479048778278,0.015933682207998272
repeated_hybrid,hybrid_cqm,100,dense,5,10,nan,0.0,0.0,nan,34717.2,-1.8387045419950732,2.220446049250313e-16
repeated_hybrid,hybrid_bqm,100,dense,5,10,0.19999999999999998,-0.5220125786163523,0.8101265822784811,-0.05563621738643891,175343.0,-1.3752785613008356,0.03584516167147876
repeated_hybrid,hybrid_cqm,100,dense,300,10,nan,0.0,0.0,nan,79842.0,-1.8387045419950732,2.220446049250313e-16
repeated_hybrid,hybrid_bqm,100,dense,300,10,-0.2727272727272727,-0.8051948051948052,0.5156144350970984,-0.41907711654893515,12883466.5,-1.7244779615948769,0.09786604036628102
repeated_hybrid,hybrid_bqm,200,dense,5,10,0.8060606060606059,0.16337622549019606,1.0,0.8163205328926214,203976.8,-2.3234648654331895,0.05979939947386209
repeated_hybrid,hybrid_bqm,200,dense,300,10,-0.5030303030303029,-0.9627329192546584,0.17686014803272088,-0.5697319928840636,11746600.6,-2.5207298972190073,0.06263116202066152
