source,solver,N,family,time_limit_s,n_runs,objective_min,objective_max,objective_range,objective_std,n_unique_objectives,identical
b2_budget_sweep,hybrid_bqm,100,dense,180,1,-1.7919836410131607,-1.7919836410131607,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,100,dense,180,1,-1.838704541995073,-1.838704541995073,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,100,dense,300,1,-1.6954185700293047,-1.6954185700293047,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,100,dense,300,1,-1.838704541995073,-1.838704541995073,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,200,dense,5,1,-2.419543443494791,-2.419543443494791,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,200,dense,5,1,-3.597948620279437,-3.597948620279437,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,200,dense,30,1,-2.459791890039409,-2.459791890039409,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,200,dense,30,1,-3.597948620279437,-3.597948620279437,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,200,dense,60,1,-2.4227005031313147,-2.4227005031313147,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,200,dense,60,1,-3.597948620279437,-3.597948620279437,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,200,dense,180,1,-2.446489864136357,-2.446489864136357,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,200,dense,180,1,-3.597948620279437,-3.597948620279437,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,200,dense,300,1,-2.479868810996183,-2.479868810996183,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,200,dense,300,1,-3.597948620279437,-3.597948620279437,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,400,dense,5,1,-4.426472352748988,-4.426472352748988,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,400,dense,5,1,-7.4541388097375885,-7.4541388097375885,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,400,dense,30,1,-4.921438285670414,-4.921438285670414,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,400,dense,30,1,-7.4541388097375885,-7.4541388097375885,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,400,dense,60,1,-5.080215100030995,-5.080215100030995,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,400,dense,60,1,-7.4541388097375885,-7.4541388097375885,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,400,dense,180,1,-5.739550784214204,-5.739550784214204,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,400,dense,180,1,-7.4541388097375885,-7.4541388097375885,0.0,0.0,1,True
b2_budget_sweep,hybrid_bqm,400,dense,300,1,-5.89909300237767,-5.89909300237767,0.0,0.0,1,True
b2_budget_sweep,hybrid_cqm,400,dense,300,1,-7.4541388097375885,-7.4541388097375885,0.0,0.0,1,True
repeated_hybrid,hybrid_cqm,50,block,5,10,-0.48822336429122026,-0.48822336429122026,0.0,5.551115123125783e-17,1,True
repeated_hybrid,hybrid_bqm,50,block,5,10,-0.40590979003324035,-0.33617974881592316,0.06973004121731718,0.02119474453776104,10,False
repeated_hybrid,hybrid_cqm,50,block,300,10,-0.48822336429122026,-0.48822336429122026,0.0,5.551115123125783e-17,1,True
repeated_hybrid,hybrid_bqm,50,block,300,10,-0.453163980279468,-0.4194536606301186,0.03371031964934945,0.010964648707872305,10,False
repeated_hybrid,hybrid_cqm,100,block,5,10,-0.19504071010959945,-0.19504071010959945,0.0,0.0,1,True
repeated_hybrid,hybrid_bqm,100,block,5,10,0.2627721010930626,0.5255181406060292,0.2627460395129666,0.07283560028745535,10,False
repeated_hybrid,hybrid_cqm,100,block,300,10,-0.19504071010959945,-0.19504071010959945,0.0,0.0,1,True
repeated_hybrid,hybrid_bqm,100,block,300,10,-0.18626144259623745,0.08263543140190421,0.26889687399814166,0.0768887711206646,10,False
repeated_hybrid,hybrid_cqm,200,block,5,10,2.043781529275822,2.043781529275822,0.0,0.0,1,True
