source,solver,N,n_runs,spearman_rho,spearman_ci_low,spearman_ci_high,pearson_r,pearson_ci_low,pearson_ci_high,mean_qpu_access_s,mean_objective
a2a3_synthetic_hybrid,hybrid_bqm,10,9,0.09128709291752768,-0.8392543274162825,0.8392543274162825,0.5086196754541159,-0.8341221127250523,0.84824767158437,146880.55555555556,-0.13937095575339403
a2a3_synthetic_hybrid,hybrid_bqm,20,9,-0.3379189091915237,-0.9347326842758329,0.49104542075310925,-0.22951175480599084,-0.7881925392337984,0.3083036748436573,151618.88888888888,-0.30968416713218894
a2a3_synthetic_hybrid,hybrid_bqm,30,9,0.03651483716701107,-0.8113810726292249,0.7834335427731117,0.549924826144883,-0.9053779304283178,0.9148864245137531,156438.0,-0.41727161312270566
a2a3_synthetic_hybrid,hybrid_bqm,50,9,0.17025130615174974,-0.7467999119044617,0.8614435222839291,0.3452129326335277,-0.7942361962267626,0.7008637333763669,162613.55555555556,-0.5398888088889732
a2a3_synthetic_hybrid,hybrid_bqm,80,9,-0.3096261412396175,-0.808695652173913,0.46522977330329296,-0.2787581858901471,-0.6898655013037075,0.6960919323697865,185475.11111111112,-0.6220380830107333
a2a3_synthetic_hybrid,hybrid_bqm,120,9,-0.25,-0.9478260869565218,0.5789473684210527,0.013215292114636679,-0.9974700716592189,0.6589793502742689,167060.55555555556,-0.6281682781224204
a2a3_synthetic_hybrid,hybrid_bqm,200,9,0.03333333333333333,-0.7777777777777777,0.6923076923076922,-0.00836294560926941,-0.7170837364333374,0.6151656905744207,187253.66666666666,0.02393260126273406
a2a3_synthetic_hybrid,hybrid_bqm,400,9,-0.16736548175114463,-0.7948717948717948,0.5752999885988568,-0.08197325350863105,-0.7816212678922898,0.6080761579609079,155281.44444444444,4.4794540685126165
a2a3_synthetic_hybrid,hybrid_bqm,640,9,-0.25104822262671694,-0.8553372034476998,0.5240224635777517,-0.2140668657456406,-0.7733033607414692,0.4401207794474615,155559.44444444444,16.451971288330284
a2a3_synthetic_hybrid,hybrid_cqm,10,9,0.10639903531978628,-0.7190924955066748,0.8778622909288577,-0.3721242021660114,-0.8548930442557402,0.68593225698973,34707.333333333336,-0.13937095575339403
a2a3_synthetic_hybrid,hybrid_cqm,20,9,-0.5345224838248488,-0.9682458365518543,0.2730094531159741,-0.5589039485282213,-0.9486748660484793,0.155407023581138,34712.22222222222,-0.3150820590186558
a2a3_synthetic_hybrid,hybrid_cqm,30,9,-0.20610161597181784,-0.9073928715621604,0.6306697716731441,-0.24647605493241226,-0.8923395535717829,0.7033923953125074,34712.444444444445,-0.4553406887202076
a2a3_synthetic_hybrid,hybrid_cqm,50,9,-0.16173874084416223,-0.8553677823885133,0.6491286551906593,0.3580322219350681,-0.7610633091310842,0.7137344221674627,30856.777777777777,-0.6544473964044991
a2a3_synthetic_hybrid,hybrid_cqm,80,9,0.10350983390135313,-0.5789473684210527,0.7434792916479136,0.20611833762675713,-0.45132266960070366,0.6505914750565569,30861.222222222223,-0.9550288277989178
a2a3_synthetic_hybrid,hybrid_cqm,120,9,-0.7822165589515727,-0.9214426752509267,0.0,-0.6389501115180284,-0.982931063963765,0.0,34709.77777777778,-1.2469342346670311
a2a3_synthetic_hybrid,hybrid_cqm,200,9,-0.41711570007178683,-0.8868703479314523,0.40003556029699877,-0.005013625959393586,-0.9585062919088049,0.6989087998952904,34713.77777777778,-1.5249801600124617
a2a3_synthetic_hybrid,hybrid_cqm,400,9,0.2845213189769458,-0.4737107921318447,0.8267401579471308,0.20621506580340654,-0.4957932577423489,0.7714011782992747,34737.11111111111,0.04011171857579971
a2a3_synthetic_hybrid,hybrid_cqm,640,9,0.4184137043778615,-0.565028102625663,0.9824561403508772,0.4540361519810838,-0.06909868365484126,0.8298030354061912,34758.333333333336,6.228527068204052
repeated_hybrid,hybrid_bqm,50,34,-0.2762152537447682,-0.6048941216381509,0.11319894189457748,-0.08580205004172704,-0.40134476640304895,0.27784235127758367,5083908.088235294,-0.5110895553066559
repeated_hybrid,hybrid_bqm,100,40,-0.4419531877839131,-0.6929033227278635,-0.1162061903507417,-0.28237161561990365,-0.5419240634651206,0.02319627468371978,6350469.275,-0.6998616965884936
repeated_hybrid,hybrid_bqm,200,40,-0.6097560975609757,-0.7869786010758595,-0.30140577104293537,-0.07876720923313293,-0.38639640842096745,0.2448837228038898,5752176.8,0.9827695400515128
