N,family,seed,K,raw_energy,raw_obj,raw_sum,raw_feasible,projected_obj,projected_sum,wall_clock_s,timeout_ms,hybrid_bqm_obj,hybrid_cqm_obj,gurobi_obj,tabu_minus_hybrid_bqm,tabu_minus_hybrid_cqm,tabu_minus_gurobi
50,block,0,15,-0.488223364291164,-0.48822336429122026,15,True,-0.48822336429122026,15,5.0012396660022205,5000,-0.361288171954284,-0.48822336429122026,-0.48822336429122026,-0.1269351923369363,0.0,0.0
50,block,1,15,-0.4344070099158266,-0.4344070099159002,15,True,-0.4344070099159002,15,5.000692333007464,5000,-0.3131354470916463,-0.4388886728614976,-0.4388886728614976,-0.12127156282425389,0.0044816629455973755,0.0044816629455973755
50,block,2,15,-0.4966927624451447,-0.4966927624451083,15,True,-0.4966927624451083,15,5.0008298750035465,5000,-0.3922255795102707,-0.4966927624451083,-0.4966927624451083,-0.10446718293483759,0.0,0.0
50,dense,0,15,-0.7992558126256748,-0.7992558126256014,15,True,-0.7992558126256014,15,5.000654834002489,5000,-0.6720882766155588,-0.7992558126256014,-0.7992558126256014,-0.1271675360100426,0.0,0.0
50,dense,1,15,-0.793730168570848,-0.793730168570731,15,True,-0.793730168570731,15,5.000748958002077,5000,-0.670039842776347,-0.793730168570731,-0.793730168570731,-0.12369032579438399,0.0,0.0
50,dense,2,15,-0.8027949374219734,-0.8027949374220209,15,True,-0.8027949374220209,15,5.000732333006454,5000,-0.6787155127927094,-0.8027949374220209,-0.8027949374220209,-0.12407942462931154,0.0,0.0
80,block,0,24,-0.41842554860773085,-0.41842554860846937,24,True,-0.41842554860846937,24,5.001515791009297,5000,-0.041085680395976265,-0.4264017182460733,-0.4264017182460733,-0.3773398682124931,0.007976169637603947,0.007976169637603947
80,block,1,24,-0.18617506356121005,-0.18617506356130642,24,True,-0.18617506356130642,24,5.001471041003242,5000,0.22029626737091124,-0.18944424606861188,-0.18944424606861188,-0.40647133093221766,0.003269182507305457,0.003269182507305457
80,block,2,24,-0.32507811184390967,-0.3250781118434942,24,True,-0.3250781118434942,24,5.001465249995817,5000,0.02819070943693558,-0.3250781118434942,-0.3250781118434942,-0.3532688212804298,0.0,0.0
80,dense,0,24,-1.4625640586779234,-1.462564058678193,24,True,-1.462564058678193,24,5.001389875003952,5000,-1.0717524698515377,-1.462564058678193,-1.462564058678193,-0.39081158882665523,0.0,0.0
80,dense,1,24,-1.4254379637343373,-1.4254379637347014,24,True,-1.4254379637347014,24,5.001347750003333,5000,-1.0777654688010607,-1.4254379637347014,-1.4254379637347014,-0.3476724949336407,0.0,0.0
80,dense,2,24,-1.228178382721083,-1.228178382721183,24,True,-1.228178382721183,24,5.001446041002055,5000,-0.9230005918359333,-1.228178382721183,-1.228178382721183,-0.30517779088524966,0.0,0.0
120,block,0,36,-0.05566744664272605,-0.05566744664404766,36,True,-0.05566744664404766,36,5.000866249989485,5000,0.8120370128118921,-0.058785094803853966,-0.058785094803853966,-0.8677044594559398,0.0031176481598063077,0.0031176481598063077
120,block,1,36,0.1942710437547177,0.1942710437562063,36,True,0.1942710437562063,36,5.000887499991222,5000,0.8926940584456906,0.19020973849966705,0.19020973849966705,-0.6984230146894843,0.004061305256539249,0.004061305256539249
120,block,2,36,-0.10894751283121096,-0.10894751283261961,36,True,-0.10894751283261961,36,5.000978166994173,5000,0.7700442053945382,-0.10894751283261961,-0.10894751283261961,-0.8789917182271578,0.0,0.0
120,dense,0,36,-2.011687454124715,-2.0116874541248144,36,True,-2.0116874541248144,36,5.000712583001587,5000,-1.3932733179353884,-2.0116874541248144,-2.0116874541248144,-0.618414136189426,0.0,0.0
120,dense,1,36,-2.1404046341010723,-2.14040463409832,36,True,-2.14040463409832,36,5.000734207991627,5000,-1.5617056667404174,-2.14040463409832,-2.14040463409832,-0.5786989673579024,0.0,0.0
120,dense,2,36,-2.0627293296709315,-2.062729329673112,36,True,-2.062729329673112,36,5.000733750013751,5000,-1.4055095652764837,-2.062729329673112,-2.062729329673112,-0.6572197643966282,0.0,0.0
200,block,0,60,2.043781529270925,2.043781529275822,60,True,2.043781529275822,60,5.001314542008913,5000,4.393448122111108,2.043781529275822,2.043781529275822,-2.3496665928352862,0.0,0.0
200,block,1,60,2.1406596807393203,2.1406596807300535,60,True,2.1406596807300535,60,5.0014465840067714,5000,4.449236871095641,2.1406596807300535,2.1406596807300535,-2.3085771903655874,0.0,0.0
200,block,2,60,1.6368562968495546,1.6368562968532503,60,True,1.6368562968532503,60,5.0015356250078185,5000,4.3414577176577165,1.634160717910735,1.634160717910735,-2.704601420804466,0.0026955789425153753,0.0026955789425153753
200,dense,0,60,-3.597948620272403,-3.597948620279437,60,True,-3.597948620279437,60,5.001815041992813,5000,-2.351683505125071,-3.597948620279437,-3.597948620279437,-1.2462651151543658,0.0,0.0
200,dense,1,60,-3.5047489057108887,-3.504748905704504,60,True,-3.504748905704504,60,5.001898500006064,5000,-2.2372241828446846,-3.504748905704504,nan,-1.2675247228598194,0.0,nan
200,dense,2,60,-3.6470729208147183,-3.6470729208155297,60,True,-3.6470729208155297,60,5.001905334007461,5000,-2.336929297107283,-3.6470729208155297,-3.6470729208155297,-1.3101436237082469,0.0,0.0
